onehot__Age_ARCHAEAN,onehot__Age_ARCHAEAN- PALAEOPROTEROZOIC,onehot__Age_CENOZOIC,onehot__Age_PALAEOPROTEROZOIC,onehot__Lithology_ALKALI FELDSPAR GRANITE,onehot__Lithology_AMPHIBOLITE,onehot__Lithology_ANORTHOSITE GABBRO,onehot__Lithology_ARGILLITE,onehot__Lithology_BANDED FERRUGINOUS CHERT,onehot__Lithology_BANDED IRON FORMATION,onehot__Lithology_BASALTIC KOMATIITE,onehot__Lithology_BIOTITE GNEISS,onehot__Lithology_CARBONACEOUS PHYLLITE,onehot__Lithology_CHLORITE SCHIST,onehot__Lithology_CHLORITE SERICITE SCHIST,onehot__Lithology_CONGLOMERATE,onehot__Lithology_DIORITE,onehot__Lithology_DOLERITE,onehot__Lithology_DOLOMITE,onehot__Lithology_GNEISS,onehot__Lithology_GRANITE,onehot__Lithology_GRANITOID,onehot__Lithology_GRAYWACKE,onehot__Lithology_GREY BIOTITE GNEISS,onehot__Lithology_GREY BIOTITE GRANITE,onehot__Lithology_GREY GRANITE,onehot__Lithology_GREY HORNBLENDE BIOTITE GNEISS,onehot__Lithology_GREY HORNBLENDE BIOTITE GRANITE,onehot__Lithology_GREY HORNBLENDE GNEISS,onehot__Lithology_LATERITE,onehot__Lithology_MANGANIFEROUS PHYLLITE,onehot__Lithology_META-ANDESITE,onehot__Lithology_META-BASALT,onehot__Lithology_META-GABBRO,onehot__Lithology_META-RHYOLITE,onehot__Lithology_META-TUFF,onehot__Lithology_MIGMATITE GNEISS,onehot__Lithology_PHYLLITE,onehot__Lithology_PILLOWED METABASALT,onehot__Lithology_PINK BIOTITE GRANITE,onehot__Lithology_PINK GRANITE,onehot__Lithology_PINK HORNBLENDE BIOTITE GRANITE,onehot__Lithology_PINK HORNBLENDE GRANITE,onehot__Lithology_PINK PORPHYRITIC GRANITE,onehot__Lithology_QUARTZITE,onehot__Lithology_SILLIMANITE-KYANITE-STAUROLITE-GARNET SCHIST,onehot__Lithology_SYENITE,remainder__X,remainder__Y,remainder__Elevation,remainder__BA,remainder__Unnamed: 4,remainder__SiO2,remainder__Al2O3,remainder__Fe2O3,remainder__TiO2,remainder__CaO,remainder__MgO,remainder__MnO,remainder__Na2O,remainder__K2O,remainder__P2O5,remainder__LOI,remainder__Ba_ppm,remainder__Ga_ppm,remainder__Sc_ppm,remainder__V_ppm,remainder__Th_ppm,remainder__Pb_ppm,remainder__Ni_ppm,remainder__Co_ppm,remainder__Rb_ppm,remainder__Sr_ppm,remainder__Cr_ppm,remainder__Cu_ppm,remainder__Zn_ppm,remainder__Commodity
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6068,13.875,609,-76,,62.49,13.58,7.68,0.96,1.662,1.957,0.124,0.836,1.515,0.07,0,379.8,2.5,18.2,119.4,4,16.7,93.3,24.1,55.6,118.4,191.1,39.1,39.6,GOLD
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.679,13.8568,609,-76,,62.49,13.58,7.68,0.96,1.662,1.957,0.124,0.836,1.515,0.07,0,379.8,2.5,18.2,119.4,4,16.7,93.3,24.1,55.6,118.4,191.1,39.1,39.6,GOLD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1517,14.4228,688,-93,,51.73,16.5,9.52,1.17,2.29,2.85,0.31,0.71,1.54,0.08,12.48,522,18,30,253,8,9,94,34,47,71,411,60,58,GOLD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4336,15.1694,556,-54,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4,MANGANESE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4966,15.0931,556,-54,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4,MANGANESE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4355,15.17,556,-54,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4,MANGANESE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3631,15.2455,556,-54,,37.62,11.31,34.67,1.21,1.88,1.53,0.3,0.58,0.52,0.11,0,189.2,15.4,20.9,173.5,2,11.3,91.9,31.3,40.1,31,258.4,101.3,42.4,MANGANESE
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.625,15.625,399,-96,,59.56,15.09,2.79,0.41,5.99,0.82,0.04,1.74,2.76,0.15,0,536.8,18.3,12.5,46.9,6.8,13.6,19,6.2,104.6,265.4,62,16.2,19.2,TALC
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7334,15.6039,399,-96,,59.56,15.09,2.79,0.41,5.99,0.82,0.04,1.74,2.76,0.15,0,536.8,18.3,12.5,46.9,6.8,13.6,19,6.2,104.6,265.4,62,16.2,19.2,TALC
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7421,15.6107,399,-96,,59.56,15.09,2.79,0.41,5.99,0.82,0.04,1.74,2.76,0.15,0,536.8,18.3,12.5,46.9,6.8,13.6,19,6.2,104.6,265.4,62,16.2,19.2,TALC
