X,Y,Elevation,BA,Commodity,Fold Type,Fault Type,Age,Super Group,Group Name,Formation,Lithology,Intrusive,SiO2,Al2O3,Fe2O3,TiO2,CaO,MgO,MnO,Na2O,K2O,P2O5,LOI,Ba_ppm,Ga_ppm,Sc_ppm,V_ppm,Th_ppm,Pb_ppm,Ni_ppm,Co_ppm,Rb_ppm,Sr_ppm,Cr_ppm,Cu_ppm,Zn_ppm
77.5276,14.2477,0,0,,SYNFORM,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.5397,14.2495,0,0,,SUPERPOSED FOLD (TYPE 1),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.71,13.7499,0,0,,,THRUST,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7193,13.7489,0,0,,,THRUST,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7194,13.7447,0,0,,,THRUST,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6068,13.875,609,-76,GOLD,,,ARCHAEAN,DHARWAR,CHITRADURGA,HIRIYUR,ARGILLITE,,62.49,13.58,7.68,0.96,1.662,1.957,0.124,0.836,1.515,0.07,0,379.8,2.5,18.2,119.4,4,16.7,93.3,24.1,55.6,118.4,191.1,39.1,39.6
76.679,13.8568,609,-76,GOLD,,THRUST,ARCHAEAN,DHARWAR,CHITRADURGA,HIRIYUR,ARGILLITE,,62.49,13.58,7.68,0.96,1.662,1.957,0.124,0.836,1.515,0.07,0,379.8,2.5,18.2,119.4,4,16.7,93.3,24.1,55.6,118.4,191.1,39.1,39.6
76.1517,14.4228,688,-93,GOLD,,,ARCHAEAN,DHARWAR,BABABUDAN,KIBBANAHALLI,CHLORITE SERICITE SCHIST,,51.73,16.5,9.52,1.17,2.29,2.85,0.31,0.71,1.54,0.08,12.48,522,18,30,253,8,9,94,34,47,71,411,60,58
76.4383,14.1248,0,0,,,,ARCHAEAN,DHARWAR,CHITRADURGA,INGALDHAL,FERRO DOLOMITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.1382,14.4264,0,0,,,,ARCHAEAN,DHARWAR,CHITRADURGA,VANIVILAS,LIMESTONE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
